!	I have a comment
*$	Starbucks
ADM	Aye Dios Mio
ADN	Advanced Digital Network -or- Any Day Now
ADR	Address
ADVD	Advised
AEAP	As Early As Possible
AFAGAY	A Friend As Good As You
AFAHMASP	A Fool And His Money Are Soon Parted
AFAIC	As Far As I'm Concerned
AFAICS	As Far As I Can See
AFAICT	As Far As I Can Tell
AFAIK	As Far As I Know
AFAIR	As Far As I Remember
AFAIU	As Far As I Understand
AFAIUI	As Far As I Understand It
AFAP	As Far As Possible
AFAYC	As Far As You're Concerned
AFC	Away From Computer
AFDN	Any F***ing Day Now
AFGO	Another F***ing Growth Opportunity
AFIAA	As Far As I Am Aware
AFINIAFI	A Friend In Need Is A Friend Indeed
AFJ	April Fools Joke
AFK	Away From Keyboard -or- A Free Kill
AFPOE	A Fresh Pair Of Eyes
AFT	About F***ing Time
AFU	All F***ed Up
AFW	Away From Window
AFZ	Acronym Free Zone
AGB	Almost Good Bridge
AGKWE	And God Knows What Else
AI	Artificial Intelligence -or- As If
AIAMU	And I'm A Monkey's Uncle
aight	all right
AIH	As It Happens
AIMB	As I Mentioned Before
AIMP	Always In My Prayers
AISB	As I Said Before
AISE	As I Said Earlier
AISI	As I See It
AITR	Adult In The Room
AKA or a.k.a.	Also Known As
ALAP	As Late As Possible
alcon	All Concerned
ALOL	Actually Laughing Out Loud
ALOTBSOL	Always Look On The Bright Side Of Life
ALTG	Act Locally, Think Globally
ALW	Ain't Life Wonderful
AMA	Ask Me Anything
AMAP	As Many As Possible -or- As Much As Possible
AMBW	All My Best Wishes
AMF	Adios Mother F***er
AML	All My Love
AMRMTYFTS	All My Roommates Thank You For The Show
ANFAWFOS	And Now For A Word From Our Sponsor
ANFSCD	And Now For Something Completely Different
ANGB	Almost Nearly Good Bridge
AOAS	All Of A Sudden
AOB	Abuse Of Bandwidth
AON	Apropos Of Nothing
AOR	Agency On Record -or- Album-Oriented Rock
AOYP	Angel On Your Pillow
AP	Apple Pie
APAC	Asia-Pacific
AR	Action Required
AS	Ape Sh** -or- Another Subject
ASAFP	As Soon As F***ing Possible
ASAMOF	As A Matter Of Fact
ASAP	As Soon As Possible
ASAYGT	As Soon As You Get This
ASL	Age/Sex/Location
ASLMH	Age/Sex/Location/Music/Hobbies
ATAB	Ain't That A Bitch
ATC	Any Two Cards
ATM	At The Moment, Asynchronous Transfer Mode, Automated Teller Machine
ATSL	Along The Same Line
ATST	At The Same Time
ATW	All The Web, Around The Web, All The Way, At The Weekend
ATWD	Agree That We Disagree
AUNT	And U Know This
AUNTM	And U Know This Man
AWC	After While, Crocodile
AWGTHTGTTA	Are We Going To Have To Go Through This Again
AWHFY	Are We Having Fun Yet?
AWLTP	Avoiding Work Like The Plague
AWNIAC	All We Need Is Another Chair
AWOL	Absent Without Leave
AWTTW	A Word To The Wise
ax	it means across
AYC	Aren't You Clever -or- Aren't You Cheeky
AYCE	All You Can Eat
AYFKMWTS	Are You F***ing Kidding Me With This Sh**
AYK	As You Know
AYMM	Are You My Mother
AYOR	At Your Own Risk
AYSOS	Are You Stupid Or Something
AYTMTB	And You're Telling Me This Because
AYV	Are You Vertical?
B	Be
B&E	Breaking & Entering
B&F	Back and Forth
B/C	Because
B/W	Between
B2A	Business-to-Anyone
B2B	Business-to-Business
B2B2C	Business-to-Business-to-Consumer
B2C	Business-to-Consumer
B2D	Business-to-Distributor
B2E	Business-to-Employee
B2G	Business-to-Government
B4	Before
B4N	Bye For Now
B4U	Before You
B4YKI	Before You Know It
B@U or BAK@U	Back at You
BABY	Being Annoyed By You
BAC	Bad Ass Chick
BAG	Busting A Gut -or- Big Ass Grin
BAK	Back At Keyboard
BAMF	Bad Ass Mother F***er
banana	it means penis
BARB	Buy Abroad but Rent in Britain
BAU	Business As Usual
BB	Be Back -or- Buzzard Breath -or- Blessed Be
BB4N	Bye Bye for Now
BBAMFIC	Big Bad Ass Mother F***er In Charge
BBB	Bye Bye Babe -or- Boring Beyond Belief
BBBG	Bye Bye Be Good
BBFBBM	Body By Fisher, Brains By Mattel
BBFN	Bye Bye for Now
BBIAB	Be Back In A Bit
BBIAF	Be Back In A Few
BBIAS	Be Back In A Sec
BBIAW	Be Back In A While
BBL	Be Back Later
BBMFIC	Big Bad Mother F***er In Charge
BBQ	Bar-B-Que -or- Barbeque
BBR	Burnt Beyond Repair
BBS	Be Back Soon -or Bulletin Board Service
BBSD	Be Back Soon Darling
BBSL	Be Back Sooner or Later
BBT	Be Back Tomorrow
BBW	Big Beautiful Woman -or- Big Black Woman
BC	Because
BCBG	Bon Chic Bon Genre -or- Belle Cul Belle Geulle
BCBS	Big Company, Big School
BCNU	Be Seeing You
bcoz	because
BD	Big Deal -or- Baby Dance -or- Brain Drain
BDBI5M	Busy Daydreaming Back In 5 Minutes
BDC	Big Dumb Company -or- Big Dot Com
BDN	Big Damn Number
BDOA	Brain Dead On Arrival
BDSM	Bondage, Dominance, Sadism, Masochism
BEG	Big Evil Grin
beos	Nudge
BF	Boyfriend -or- Best Friend
BFD	Big F***ing Deal -or- Big F***ing Disaster
BFE	Bum F*** Egypt
BFF	Best Friends Forever -or- Best Friend's Funeral
BFFN	Best Friends For Now
BFFTTE	Best Friends Forever Til The End
BFG	Big F***ing Gun
BFN	Bye For Now
BFR	Big F***ing Rock
BG	Be Good
BGF	Best GirlFriend
BHAG	Big Hairy Audacious Goal
BHG	Big Hearted Guy -or- Big Hearted Girl
BHIMBGO	Bloody Hell, I Must Be Getting Old
BHOF	Bald Headed Old Fart
BI	Business Intelligence
BI5	Back In Five
BIBI	Bye Bye
BIBO	Beer In, Beer Out
BIF	Basis In Fact -or- Before I Forget
BIL	Brother-In-Law -or- Boss Is Listening
BIO	Bring It On
BIOIYA	Break It Off In Your Ass
BION	Believe It Or Not
BIOYA	Blow It Out Your Ass
BIOYE	Blow It Out Your Ear
BIOYIOP	Blow It Out Your I/O Port
BIOYN	Blow it Out Your Nose
BITCH	Basically In The Clear Homey
BITD	Back In The Day
BITFOB	Bring It The F*** On, Bitch
BJ	Blow Job
BKA	Better Known As
BL	Belly Laughing
BLBBLB	Back Like Bull, Brain Like Bird
Blkbry	Blackberry
BLZRD	it means blizzard
BM	Byte Me
BMF	Bad Mother F***er
BMGWL	Busting My Gut With Laughter
BMOC	Big Man On Campus
BMOF	Bite Me Old Fart
BMOTA	Byte Me On The Ass
BMS	Baby Making Sex
BMW	B*tch, Moan, Whine
BN	Been -or- Being
BNDN	Been Nowhere Done Nothing
BNF	Big Name Fan
BO	Bug Off -or- Body Odor
BOAISY	Bend Over And I'll Show You
BOB	Battery Operated Boyfriend
BOBFOC	Body Off Baywatch, Face Off Crimewatch
BOCTAAE	But Of Course There Are Always Exceptions
BOD	Benefit of the Doubt -or- Board Of Directors
BOFH	Bastard Operator From Hell
BOHICA	Bend Over Here It Comes Again
BON	Believe it Or Not
book	it means cool
BOTEC	Back Of The Envelope Calculation
BOTL	Bra On The Loose
BOTOH	But On The Other Hand
BPLM	Big Person Little Mind
BR	Bathroom
BRB	Be Right Back
BRICS	Brazil, Russia, India, China, South Africa
BRL	Belly Roll Laughs
BRO	Be Right Over
BRT	Be Right There
BRUF	Big Requirements Up Front
BS	Big Smile -or- Bull Sh** -or- Brain Strain
BSAAW	Big Smile And A Wink
BSBD&NE	Book Smart, Brain Dead & No Experience
BSEG	Big Sh** Eating Grin
BSF	But Seriously, Folks
BSOD	Blue Screen of Death
BT	Byte This
BTA	But Then Again -or- Before The Attacks
BTD	Bored To Death
BTDT	Been There Done That
BTDTGTS	Been There, Done That, Got The T-shirt
BTFLDY	it means beautiful day
BTFO	Back The F*** Off -or- Bend The F*** Over
BTHOOM	Beats The Heck Out Of Me
BTN	Better Than Nothing
BTOIYA	Be There Or It's Your Ass
BTR	Better
BTSOOM	Beats The Sh** Out Of Me
BTTT	Back To The Top -or- Bump To The Top
BTW	By The Way -or- Bring The Wheelchair
BTWBO	Be There With Bells On
BTWITIAILWU	By The Way I Think I Am In Love With You
BTYC	Better Than You Can
BTYD	Better Than You Do
BUFF	Big Ugly Fat F***
buhbye	bye
bump	Bring Up My Post
BW	Best Wishes
BWDIK	But What Do I Know
BWI	But What If
BWL	Bursting With Laughter
BWO	Black, White or Other
BWTM	But Wait, There's More
BYAM	Between You And Me
BYKI	Before You Know It
BYKT	But You Knew That
BYOA	Bring Your Own Advil
BYOB	Bring Your Own Bottle -or- Bring Your Own Beer
BYOD	Bring Your Own Device
BYOW	Build Your Own Website -or- Bring Your Own Wine
BYTME	Better You Than ME
BZ	Busy
C	it means see, it's also a programming language
c ya	see ya
c%d	it means could
c%l	it means cool
C&G	Chuckle and Grin
C-P	Sleepy
C-T	City
C/P	Cross Post
C/S	Change of Subject
C4N	Ciao For Now
CAAC	Cool As A Cucumber
CAS	Crack A Smile
CB	Chat Brat -or- Coffee Break -or Call Back
CBB	Can't Be Bothered
CBF	Can't Be F***ed
CBJ	Covered Blow Job
CBM	Covered By Medicare
cc	carbon copy
CD9	Code 9 - it means parents are around
CF	Coffee Freak -or- Cluster F***
CFV	Call For Vote
CHA	Click Here Asshole
chillaxin	it means chilling and relaxing
chln	it means chilling
CIAO	Goodbye (in Italian)
CICO	Coffee In, Coffee Out
CICYHW	Can I Copy Your Home Work
CID	Consider It Done -or- Crying In Disgrace
CIL	Check In Later
CINBA	Clad In Naught But Air
CIO	Check It Out -or- Chief Information Officer / Chief Internet Officer
CLD	it means cold
CLM	Career Limiting Move
CM	Call Me
CMAO	Chortling My Ass Off
CMAP	Cover My Ass Partner
CMB	Call Me Back
CMF	Count My Fingers
CMIW	Correct Me if I'm Wrong
CMU	Crack Me Up
CN	Can
CNP	Continued in Next Post
COB	Close Of Business
COBRAS	Come On By Right After School
COD	Change Of Dressing
Cof$	Church of Scientology
CofS	Church of Scientology
COL	Chuckle Out Loud -or- Chortling Out Loud
coo	short for cool
COS	Change Of Subject -or- it means because
COT	Circle Of Trust
CPG	Consumer Packaged Goods
CQRT	Security
CRAFT	Can't Remember A F***ing Thing
CRAP	Cheap Redundant Assorted Products
CRAT	Can't Remember A Thing
CRAWS	Can't Remember Anything Worth A Sh**
CRB	Come Right Back
CRBT	Crying Real Big Tears
CRD	Caucasian Rhythm Disorder -or- Deficiency
CRDTCHCK	Credit Check
CRS	Can't Remember Sh**
CRTLA	Can't Remember the Three-Letter Acronym
CS	Career Suicide
CS&F	Cute Sexy & Funny
CSA	Cool Sweet Awesome
CSABR	Continued Success And Best Regards
CSL	Can't Stop Laughing
CSN	Chuckle, Snicker, Grin
CT	Can't Talk -or- Can't Text
CTA	Call To Action
CTC	Care To Chat -or- Contact -or- Choking The Chicken
CTFD	Calm The F*** Down
CTFO	Come The F*** On
CTFU	Cracking The F*** Up
CTMQ	Chuckle To Myself Quietly
CTO	Check This Out
CU	See You -or- Cracking Up
CU46	See You For Sex
CUATSC	See You At The Senior Center
CUATU	See You Around The Universe
CUL	See You Later
CUL8R	See You Later
CULA	See You Later Alligator
CUNS	See You In School
CUNT	See You Next Time -or- Can't Understand Newest Text
CUOL	See You OnLine
CUPL	Couple
CUWTA	Catch Up With The Acronyms
CUZ	Because
CWOT	Complete Waste Of Time
CWYL	Chat With You Later
CX	Cancelled
CxO	Chief insert title here Officer
CY	Calm Yourself
CYA	Cover Your Ass -or- See Ya
CYE	Check your Email
CYL	See You Later
CYM	Check Your Mail
CYO	See You Online
CYOH	Create Your Own Happening
CYT	See You Tomorrow
D	Dad -or- it means the
D&M	Deep & Meaningful
d/c	disconnected
d00d	dude, also seen as dood
D2D	Developer-to-Developer or Day-to-Day
D8	Date
da	there
DAMHIKT	Don't Ask Me How I Know That
DARFC	Ducking And Running For Cover
DBA	Doing Business As
DBABAI	Don't Be A Bitch About It
DBBSWF	Dream Boat Body, Shipwreck Face
DBD	Don't Be Dumb
DBEYR	Don't Believe Everything You Read
DBMIB	Don't Bother Me I'm Busy
DD	Due Diligence
DDAS	Don't Do Anything Stupid
DDG	Drop Dead Gorgeous
DDSOS	Different Day, Same Old Sh**
DDWI	Don't Dick With It
def	Definitely
DEGT	Don't Even Go There
dem	them
DENIAL	Don't Even Notice I Am Lying
dese	these
DETI	Don't Even Think It
dewd	dude
dey	they
DF	Dear Friend
DFIK	Darn If I Know
DFLA	Disenhanced Four-Letter Acronym (that is, a TLA)
DFTBA	Don't Forget To Be Awesome
DFU	Don't F*** Up
DFWLY	Don't Forget Who Loves You
DGA	Don't Go Anywhere
DGAF	Don't Give A F***
DGARA	Don't Give A Rat's Ass
DGT	Don't Go There
DGTG	Don't Go There Girlfriend
DGYF	Damn Girl You're Fine
DH	Dear Husband
DHYB	Don't Hold Your Breath
DIAF	Die In A Fire
DIC	Drunk In Charge
DIFBET	it means what's the difference between
DIKU	Do I Know You?
DILLIGAD	Do I Look Like I Give A Damn
DILLIGAS	Do I Look Like I Give A Sh**
DINK	Double Incomes, No Kids
DINR	Dinner
DIRFT	Do It Right the First Time
DISTO	Did I Say That Outloud?
DITR	Dancing In The Rain
ditto	same here
DITYID	Did I Tell You I'm Distressed
DIY	Do It Yourself
DJM	Don't Judge Me
DK	Don't Know
DKDC	Don't Know Don't Care
DL	Down Low -or- Download -or- Dead Link
DLTBBB	Don't Let The Bed Bugs Bite
DLTM	Don't Lie To Me
DM	Direct Message
DMI	Don't Mention It
DNBL8	Do Not Be Late
DNC	Does Not Compute
DND	Do Not Disturb
DNPMPL	Damn Near Pissed My Pants Laughing
DOA	Dead On Arrival
DOC	Drug Of Choice
DOE	Depends On Experience
DOEI	Goodbye (in Dutch)
doin	it means doing
DORD	Department Of Redundancy Department
DP	Domestic Partner
dps	Damage Per Second
DPUP	Don't Poop Your Pants
DQMOT	Don't Quote Me On This
DQYDJ	Don't Quit Your Day Job
DRB	Dirty Rat Bastard
DRCOWOTO	Don't Really Care One Way Or The Other
DRIB	Don't Read If Busy
DSTR8	Damn Straight
DTC	Deep Throaty Chuckle
DTF	Down To F***
DTK	Down To Kill
DTRT	Do The Right Thing
DUI	Driving Under the Influence
DUM	Do You Masturbate?
DUNA	Don't Use No Acronyms
dunno	i don't know
DUR	Do You Remember
DURS	Damn You Are Sexy
DUSL	Do You Scream Loud?
DUST	Did You See That?
DW	Don't Worry
DW2H	Don't Work Too Hard
DWB	Don't Write Back
DWBH	Don't Worry Be Happy
DWH	During Work Hours
DWI	Driving While Intoxicated
DWPKOTL	Deep Wet Passionate Kiss On The Lips
DWS	Driving While Stupid
DWWWI	Surfing the World Wide Web while intoxicated
DWYM	Does What You Mean
DYAC	Damn You Auto Correct
DYFM	Dude You Fascinate Me
DYHAB	Do You Have A Boyfriend?
DYHAG	Do You Have A Girlfriend
DYJHIW	Don't You Just Hate It When...
DYLI	Do You Love It?
DYOFDW	Do Your Own F***ing Dirty Work
DYSTSOTT	Did You See The Size Of That Thing
E123	Easy as One, Two, Three
E2HO	Each to His/Her Own
EABOS	Eat A Bag Of Sh**
EADD	Entrepreneurial Attention Deficit Disorder
EAK	Eating at Keyboard
EAPFS	Everything About Pittsburgh F***ing Sucks
ED	Erectile Dysfunction
EDM	Electronic Document Management -or- Electronic Dance Movement
EE	Electronic Emission
EE or EEs	Employee -or- Employees
effin	F***ing
EFT	Electronic Funds Transfer
EG	Evil Grin
EIP	Eggo Is Preggo
EL	Evil Laugh
ELOL	Evil Laugh Out Loud
EM	Excuse Me
EMA	E-Mail Address
EMBM	Early Morning Business Meeting
EMEA	Europe, the Middle East, and Africa
EMFBI	Excuse Me For Butting In
EMFJI	Excuse Me For Jumping In
EMI	Excuse My Ignorance
EML	Email Me Later
EMP	Eat My Pussy
EMRTW	Evil Monkey's Rule The World
EMSG	E-Mail Message
EOD	End Of Day -or- End Of Discussion
EOL	End Of Life
EOM	End Of Message
EOT	End Of Thread/Text/Transmission
ESAD	Eat Sh** And Die
ESADYFA	Eat Sh** And Die You F***ing Asshole
ESEMED	Every Second Every Minute Every Day
ESFOAD	Eat Sh** F***Off And Die
ESG	Environmental, Social, Governance
ESH	Experience, Strength, and Hope
ESMF	Eat Sh** Mother F***er
ESO	Equipment Smarter than Operator
ETA	Estimated Time of Arrival -or- Edited To Add
ETLA	ETLA Extended Three-Letter Acronym (that is, an FLA)
ETX	End of TeXt
every1	everyone
EVRE1	Every One
EWI	E-mailing While Intoxicated
EZ	Easy
F	Friend
F2F	Face-to-Face, a.k.a. face time
F2Fmail	Face-to-Face mail
F2T	Free To Talk
FAB	Features Attributes Benefits
FAF	Find A Friend
FAH	F***ing A Hot
FAP	F***ing A Pissed
FAQL	Frequently Asked Questions List
FASB	Fast Ass Son Bitchii
FATM	Foaming At The Mouth
FAV	Favorite
FAWC	For Anyone Who Cares
FAWOMFT	Frequently Argued Waste Of My F***ing Time
FAY	F*** All Y'all
FB	F*** Buddy -or- FaceBook
FBI	F***ing Brilliant Idea -or- Female Body Inspector
FBKS	Failure Between Keyboard and Seat
FBOCD	Facebook Obsessive Compulsive Disorder
FCFS	First Come, First Served
FCOL	For Crying Out Loud
FCS	First Customer Ship
FDFF	Falling Down F***ing Funny
FDGB	Fall Down Go Boom
FE	Fatal Error
FEAR	Forget Everything And Run -or- Face Everything And Recover
FF	Friends Forever
FF&PN	Fresh Fields and Pastures New
FFA	Free For All
FFS	For F*** Sake
FFT	Food For Thought
FGDAI	Fuhgedaboudit -or- Forget About It
FIF	F*** I'm Funny
FIFO	First In, First Out
FIGJAM	F*** I'm Good Just Ask Me
FIGMO	F*** It Got My Orders
FIGS	French, Italian, German, Spanish
FIIK	F*** If I Know
FIL	Father-In-Law
FILF	Father I'd Like to F***
FILTH	Failed In London, Try Hong Kong
FINE	F***ed up, Insecure, Neurotic, Emotional -or- F*** It Never Ends
FISH	First in, Still Here
FITB	Fill In The Blanks
FKM	F*** 'Em
FLA	Four Letter Acronym
FLOTUS	First Lady Of The United States
FLUID	F***ing Look it Up, I Did
FML	F*** My Life
FMLTWIA	F*** Me Like The Whore I Am
FMTYEWTK	Far More Than You Ever Wanted To Know
FMUTA	F*** Me Up The Ass
FNG	F***ing New Guy
FO	F*** Off
FOAD	F*** Off And Die
FOAF	Friend Of A Friend
FOAG	F*** Off And Google
fob	the name for a tool, or form of ID
FOC	Free of Charge
FOFL	Falling on Floor Laughing
FOGC	Fear Of Getting Caught
FOL	Fond of Leather
FOMC	Fell Off My Chair
FOMCL	Falling Off My Chair Laughing
FOMO	Fear Of Missing Out
FOMOF	Fear Of Missing Out on Football
FOOT	F*** Off Over There -or- go away
FORD	Found On Road Dead, Fixed Or Repaired Daily, F***ed Over Rebuilt Dodge
FOS	Full Of Sh**
FOUO	For Official Use Only
FPO	For Placement Only
FRED	F***ing Ridiculous Electronic Device
FRZN	it means freezing
FS	For Sale
FSBO	For Sale By Owner
FSR	For Some Reason
FSU	F*** Sh** Up
FTASB	Faster Than A Speeding Bullet
FTBL	Football
FTBOMH	From The Bottom Of My Heart
FTC	Failure To Communicate
FTE	Full Time Employee
FTF	F*** That's Funny -or- Face To Face
FTFOI	For The Fun Of It -or- For The F*** Of It
FTL	Faster Than Light
FTLOG	For The Love Of God
FTN	F*** That Noise
FTR	For The Record
FTRF	F*** That's Really Funny
FTTB	For The Time Being
FTW	For The Win -or- F*** The World
FU2	F*** You Too
FUB	Fat Ugly Bastard
FUBAR	F***ed Up Beyond All Recognition (or Repair)
FUBB	F***ed Up Beyond Belief
FUBYOYO	F*** You Buddy You're On Your Own
FUD	Fear, Uncertainty, and Disinformation
FUJIMO	F*** You Jack I'm Movin' On
FUM	F***ed Up Mess
FUMF	Fat Ugly Mother F***er
FUPA	Fat Upper Pussy Area
FURTB	Filled Up and Ready To Burst
FUW	F*** You World -or- F*** You Weirdo
FWB	Friends With Benefits
FWD	Forward
FWIW	For What It's Worth -or- Forgot Where I Was
FWOT	F***ing Waste Of Time
FYA	For Your Amusement
FYC	For Your Consideration
FYE	For Your Edification
FYEO	For Your Eyes Only
FYF	From Your Friend
FYI	For Your Information
FYIFV	F*** You I'm Fully Vested
FYLTGE	From Your Lips To Gods Ears
FYM	For Your Misinformation
FYSBIGTBABN	Fasten Your Seat Belts It's Going To Be A Bumpy Night
G	Guess -or- Grin -or- Giggle
G1	Good One
G2G	Got to Go
G2GLYS	Got To Go Love Ya So
G4I	Go For It
G4N	Good For Nothing
G9	Genius
g98t	good night
GA	Go Ahead -or- Good Afternoon
GAB	Getting A Beer
GAFL	Get A F***ing Life
GAFYK	Get Away From Your Keyboard
GAGFI	Gives A Gay First Impression
GAHOY	Get A Hold Of Yourself
GAL	Get A Life
GALGAL	Give A Little Get A Little
GALHER	Get A Load of Her
GALHIM	Get A Load of Him
GANB	Getting Another Beer
GAP	Got A Pic? -or- Gay Ass People
GAS	Got A Second?
gawd	God
GB	Good Bridge
GBG	Great Big Grin
GBH	Great Big Hug
GBTW	Get Back To Work
GC	Good Crib
GD&R	Grinning, Ducking and Running
GD&RF	Grinning, Ducking and Running Fast
GDI	God Damn It -or- God Damn Independent
GDW	Grin, Duck and Wave
GF	Girlfriend
GFF	Go F***ing Figure
GFI	Go For It
GFN	Gone For Now
GFON	Good For One Night
GFR	Grim File Reaper
GFTD	Gone For The Day
GFY	Good For You -or- Go F*** Yourself -or- Go Find Yourself
GFYMF	Go F*** Yourself Mother F***er
GG	Good Game -or- Gotta Go -or- Giggling
GGA	Good Game All
GGGG	God, God, God, God
GGN	Gotta Go Now
GGOH	Gotta Get Out of Here
GGP	Gotta Go Pee
GGPBL	Gotta Go, Pacemaker Battery Low
GGY	Go Google Yourself
GHM	God Help Me
GI	Google It
GIC	Gift In Crib
GIDK	Gee I Don't Know
GIGATT	God Is Good All The Time
GIGO	Garbage In, Garbage Out
GILF	Grandmother I'd Like to F***
GIST	Great Ideas for Starting Things
GIWIST	Gee, I Wish I'd Said That
GJ	Good Job
GJP	Good Job Partner
GL	Good Luck -or- Get Lost
GLA	Good Luck All
GLAWD	Good Luck And Well Done
GLB	Good Looking Boy
GLBT	Gay, Lesbian, Bisexual, Transgender
GLG	Good Looking Girl
GLGH	Good Luck and Good Hunting
GLYASDI	God Loves You And So Do I
GM	Good Morning -or- Good Move
GMAB	Give Me A Break
GMAFB	Give Me A F***ing Break
GMILY	Good Morning I Love You
GMTA	Great Minds Think Alike
GMTA ASDO	Great Minds Think Alike, And So Do Ours
GMTFT	Great Minds Think For Themselves
GN	Good Night
gn8	good night
GNBLFY	Got Nothing But Love For You
GNOC	Get Naked On Cam
GNS	GangNam Style
GNSD	Good Night Sweet Dreams
GOB	Game On B*tcheeez
GOI	Get Over It
GOK	God Only Knows
GOL	Giggling Out Loud
GOLF	Grateful Of Lovely Family -or- Friends
GOOD job	Get Out Of Debt job
GOS	Gay Or Straight
GOTDPWYD	Get Off The Damn Phone While You're Driving
GOWI	Get On With It
GOYHH	Get Off Your High Horse
GQMF	Gentleman's Quarterly Mother F***er
GR&D	Grinning Running & Ducking
GR2BR	Good Riddance To Bad Rubbish
GR8	Great
GRAS	Generally Recognized As Safe
gratz	Congratulations
GROBR	Good Riddance Of Bad Rubbish
grrlz	girls, also seen as grrl
GRRR	Growling
GSC	Gimme Some Credit
GSOAS	Go Sit On A Snake
GSOH	Good Sense Of Humor
GSW	Gun Shot Wound
GSYJDWURMNKH	Good Seeing You, Just Don't Wear Your Monkey Hat
GT	Good Try
GTASC	Going To A Strip Club
GTFO	Get The F*** Out
GTFOOH	Get The F*** Out Of Here
GTG	Got To Go
GTGB	Got To Go Bye
GTGP	Got To Go Pee
GTH	Go To Hell
GTK	Good To Know
GTL	Gym, Tan, Laundry
GTM	Giggle To Myself
GTRM	Going To Read Mail
GTS	Google That Sh**
GTSY	Glad To See You
GUD	Geographically UnDesirable
guvment	government, also seen as guvmint, gumint
GWI	Get With It
GWOT	Glorified Waste Of Time
GWS	Get Well Soon
GYHOOYA	Get Your Head Out Of Your Ass
GYPO	Get Your Pants Off
H&K	Hugs and Kisses
h/o	Hold On
h/p	Hold Please
H2CUS	Hope To See You Soon
H2S	Here To Stay
H4U	Hot For You
H4XX0R	Hacker -or- To Be Hacked
H9	Husband in room
HADVD	Have Advised
hag1	have a good one
HAGD	Have a Great Day
HAGN	Have A Good Night
HAGO	Have A Good One
hahaha	it means laughing
HAK	Hugs And Kisses
HAND	Have a Nice Day
HAR	Hit And Run
HAWTLW	Hello And Welcome To Last Week
HAY	How Are You?
HB	Hurry Back
HBASTD	Hitting Bottom And Starting To Dig
HBB	Hip Beyond Belief
HBIB	Hot But Inappropriate Boy
HBIC	Head Bitch In Charge
HBO	Helping a Brother Out
HBTU	Happy Birthday To You
HBU	How Bout You?
HCC	Holy Computer Crap
HD	Hold
HDGFS	How Does Get F***ed Sound?
HF	Hello Friend -or- Have Fun -or- Have Faith
HHFO	Hell Has Frozen Over
HHH	Hip Hip Hooray
HHIS	Hanging Head In Shame
HHO1/2K	Ha Ha, Only Half Kidding
HHOJ	Ha Ha, Only Joking
HHOK	Ha Ha, Only Kidding
HHOS	Ha Ha, Only Serious
HHTYAY	Happy Holidays To You And Yours
Hi 5	High Five
HIG	How's It Going?
HIH	Hope It Helps
HIOOC	Help, I'm Out Of Coffee
HITAKS	Hang In There And Keep Smiling
HMFIC	Head MOFO In Charge
HMU	Hit Me Up
HNTI	How Nice That/This Is
HNTW	How Nice That Was
HNY	Happy New Year
HO	Hang On -or- Hold On
HOHA	HOllywood HAcker
HOIC	Hold On, I'm Coming
HOT PIC	Hot Picture, as in sexy or naked
howru	How Are You
